Judet,Unitate administrativ teritoriala,Denumire,Populatie,Barbati,Femei
Alba,MUNICIPIU,ALBA IULIA,58681,27874,30807
Alba,MUNICIPIU,AIUD,22495,11501,10994
Alba,MUNICIPIU,BLAJ,20026,9767,10259
Alba,MUNICIPIU,SEBES,24165,11623,12542
Alba,ORAS,ABRUD,4944,2491,2453
Alba,ORAS,BAIA DE ARIES,3433,1717,1716
Alba,ORAS,CAMPENI,6942,3449,3493
Alba,ORAS,CUGIR,20119,9802,10317
Alba,ORAS,OCNA MURES,12377,6056,6321
Alba,ORAS,TEIUS,6421,3155,3266
Alba,ORAS,ZLATNA,7182,3532,3650
Alba,COMUNA,ALBAC,2043,1038,1005
Alba,COMUNA,ALMASU MARE,1303,665,638
Alba,COMUNA,ARIESENI,1743,880,863
Alba,COMUNA,AVRAM IANCU,1613,805,808
Alba,COMUNA,BERGHIN,1838,918,920
Alba,COMUNA,BISTRA,4417,2325,2092
Alba,COMUNA,BLANDIANA,879,450,429
Alba,COMUNA,BUCERDEA GRANOASA,2187,1127,1060
Alba,COMUNA,BUCIUM,1454,715,739
Alba,COMUNA,CALNIC,1615,791,824
Alba,COMUNA,CENADE,929,467,462
Alba,COMUNA,CERGAU,1445,772,673
Alba,COMUNA,CERU-BACAINTI,266,136,130
Alba,COMUNA,CETATEA DE BALTA,2798,1356,1442
Alba,COMUNA,CIUGUD,3018,1494,1524
Alba,COMUNA,CIURULEASA,1181,592,589
Alba,COMUNA,CRACIUNELU DE JOS,1917,975,942
Alba,COMUNA,CRICAU,1850,908,942
Alba,COMUNA,CUT,1074,512,562
Alba,COMUNA,DAIA ROMANA,2725,1349,1376
Alba,COMUNA,DOSTAT,938,458,480
Alba,COMUNA,FARAU,1530,783,747
Alba,COMUNA,GALDA DE JOS,4396,2232,2164
Alba,COMUNA,GARBOVA,2012,987,1025
Alba,COMUNA,GARDA DE SUS,1694,836,858
Alba,COMUNA,HOPARTA,1103,557,546
